1019 Prime   = 8093
1020 Prime   = 8101
1021 Prime   = 8111
1022 Prime   = 8117
1023 Prime   = 8123
1024 Prime   = 8147
1025 Prime   = 8161
1026 Prime   = 8167
1027 Prime   = 8171
1028 Prime   = 8179
1029 Prime   = 8191
1030 Prime   = 8209
1031 Prime   = 8219
1032 Prime   = 8221
1033 Prime   = 8231
1034 Prime   = 8233
1035 Prime   = 8237
1036 Prime   = 8243
1037 Prime   = 8263
1038 Prime   = 8269
1039 Prime   = 8273
1040 Prime   = 8287
1041 Prime   = 8291
1042 Prime   = 8293
1043 Prime   = 8297
1044 Prime   = 8311
1045 Prime   = 8317
1046 Prime   = 8329
1047 Prime   = 8353
1048 Prime   = 8363
1049 Prime   = 8369
1050 Prime   = 8377
1051 Prime   = 8387
1052 Prime   = 8389
1053 Prime   = 8419
1054 Prime   = 8423
1055 Prime   = 8429
1056 Prime   = 8431
1057 Prime   = 8443
1058 Prime   = 8447
1059 Prime   = 8461
1060 Prime   = 8467
1061 Prime   = 8501
1062 Prime   = 8513
1063 Prime   = 8521
1064 Prime   = 8527
1065 Prime   = 8537
1066 Prime   = 8539
1067 Prime   = 8543
1068 Prime   = 8563
1069 Prime   = 8573
1070 Prime   = 8581
1071 Prime   = 8597
1072 Prime   = 8599
1073 Prime   = 8609
1074 Prime   = 8623
1075 Prime   = 8627
1076 Prime   = 8629
1077 Prime   = 8641
1078 Prime   = 8647
1079 Prime   = 8663
1080 Prime   = 8669
1081 Prime   = 8677
1082 Prime   = 8681
1083 Prime   = 8689
1084 Prime   = 8693
1085 Prime   = 8699
1086 Prime   = 8707
1087 Prime   = 8713
1088 Prime   = 8719
1089 Prime   = 8731
1090 Prime   = 8737
1091 Prime   = 8741
1092 Prime   = 8747
1093 Prime   = 8753
1094 Prime   = 8761
1095 Prime   = 8779
1096 Prime   = 8783
1097 Prime   = 8803
1098 Prime   = 8807
1099 Prime   = 8819
1100 Prime   = 8821
1101 Prime   = 8831
1102 Prime   = 8837
1103 Prime   = 8839
1104 Prime   = 8849
1105 Prime   = 8861
1106 Prime   = 8863
1107 Prime   = 8867
1108 Prime   = 8887
1109 Prime   = 8893
1110 Prime   = 8923
1111 Prime   = 8929
1112 Prime   = 8933
1113 Prime   = 8941
1114 Prime   = 8951
1115 Prime   = 8963
1116 Prime   = 8969
1117 Prime   = 8971
1118 Prime   = 8999
1119 Prime   = 9001
1120 Prime   = 9007
1121 Prime   = 9011
1122 Prime   = 9013
1123 Prime   = 9029
1124 Prime   = 9041
1125 Prime   = 9043
1126 Prime   = 9049
1127 Prime   = 9059
1128 Prime   = 9067
1129 Prime   = 9091
1130 Prime   = 9103
1131 Prime   = 9109
1132 Prime   = 9127
1133 Prime   = 9133
1134 Prime   = 9137
1135 Prime   = 9151
1136 Prime   = 9157
1137 Prime   = 9161
1138 Prime   = 9173
1139 Prime   = 9181
1140 Prime   = 9187
1141 Prime   = 9199
1142 Prime   = 9203
1143 Prime   = 9209
1144 Prime   = 9221
1145 Prime   = 9227
1146 Prime   = 9239
1147 Prime   = 9241
1148 Prime   = 9257
1149 Prime   = 9277
1150 Prime   = 9281
1151 Prime   = 9283
1152 Prime   = 9293
1153 Prime   = 9311
1154 Prime   = 9319
1155 Prime   = 9323
1156 Prime   = 9337
1157 Prime   = 9341
1158 Prime   = 9343
1159 Prime   = 9349
1160 Prime   = 9371
1161 Prime   = 9377
1162 Prime   = 9391
1163 Prime   = 9397
1164 Prime   = 9403
1165 Prime   = 9413
1166 Prime   = 9419
1167 Prime   = 9421
1168 Prime   = 9431
1169 Prime   = 9433
1170 Prime   = 9437
1171 Prime   = 9439
1172 Prime   = 9461
1173 Prime   = 9463
1174 Prime   = 9467
1175 Prime   = 9473
1176 Prime   = 9479
1177 Prime   = 9491
1178 Prime   = 9497
1179 Prime   = 9511
1180 Prime   = 9521
1181 Prime   = 9533
1182 Prime   = 9539
1183 Prime   = 9547
1184 Prime   = 9551
1185 Prime   = 9587
1186 Prime   = 9601
1187 Prime   = 9613
1188 Prime   = 9619
1189 Prime   = 9623
1190 Prime   = 9629
1191 Prime   = 9631
1192 Prime   = 9643
1193 Prime   = 9649
1194 Prime   = 9661
1195 Prime   = 9677
1196 Prime   = 9679
1197 Prime   = 9689
1198 Prime   = 9697
1199 Prime   = 9719
1200 Prime   = 9721
1201 Prime   = 9733
1202 Prime   = 9739
1203 Prime   = 9743
1204 Prime   = 9749
1205 Prime   = 9767
1206 Prime   = 9769
1207 Prime   = 9781
1208 Prime   = 9787
1209 Prime   = 9791
1210 Prime   = 9803
1211 Prime   = 9811
1212 Prime   = 9817
1213 Prime   = 9829
1214 Prime   = 9833
1215 Prime   = 9839
1216 Prime   = 9851
1217 Prime   = 9857
1218 Prime   = 9859
1219 Prime   = 9871
1220 Prime   = 9883
1221 Prime   = 9887
1222 Prime   = 9901
1223 Prime   = 9907
1224 Prime   = 9923
1225 Prime   = 9929
1226 Prime   = 9931
1227 Prime   = 9941
1228 Prime   = 9949
1229 Prime   = 9967
1230 Prime   = 9973
1231 Prime   = 10007
1232 Prime   = 10009
1233 Prime   = 10037
1234 Prime   = 10039
1235 Prime   = 10061
1236 Prime   = 10067
1237 Prime   = 10069
1238 Prime   = 10079
1239 Prime   = 10091
1240 Prime   = 10093
1241 Prime   = 10099
1242 Prime   = 10103
1243 Prime   = 10111
1244 Prime   = 10133
1245 Prime   = 10139
1246 Prime   = 10141
1247 Prime   = 10151
1248 Prime   = 10159
1249 Prime   = 10163
1250 Prime   = 10169
1251 Prime   = 10177
1252 Prime   = 10181
1253 Prime   = 10193
1254 Prime   = 10211
1255 Prime   = 10223
1256 Prime   = 10243
1257 Prime   = 10247
1258 Prime   = 10253
1259 Prime   = 10259
1260 Prime   = 10267
1261 Prime   = 10271
1262 Prime   = 10273
1263 Prime   = 10289
1264 Prime   = 10301
1265 Prime   = 10303
